date;code;PM10_day
05.11.22;MC221;18
06.11.22;MC221;18
07.11.22;MC221;16
08.11.22;MC221;15
09.11.22;MC221;15
10.11.22;MC221;15
11.11.22;MC221;17
12.11.22;MC221;27
13.11.22;MC221;25
14.11.22;MC221;37
15.11.22;MC221;36
16.11.22;MC221;27
17.11.22;MC221;22
18.11.22;MC221;25
19.11.22;MC221;19
20.11.22;MC221;20
21.11.22;MC221;26
22.11.22;MC221;28
23.11.22;MC221;31
24.11.22;MC221;41
25.11.22;MC221;35
26.11.22;MC221;25
27.11.22;MC221;24
28.11.22;MC221;29
29.11.22;MC221;39
30.11.22;MC221;47
01.12.22;MC221;41
02.12.22;MC221;32
03.12.22;MC221;44
04.12.22;MC221;47
05.12.22;MC221;32
06.12.22;MC221;15
07.12.22;MC221;14
08.12.22;MC221;18
09.12.22;MC221;22
10.12.22;MC221;25
11.12.22;MC221;22
12.12.22;MC221;17
13.12.22;MC221;26
